epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,20542.2,0.38234,0.03758,0.01515,0.25025,0.95901,0.99736,0.99319,0.99444,0.94256,0.99754,0.99337,0.99452,0.99417,0.37344,0.02383,0.00029,0.16271,0.95737,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,20792,0.37798,0.03733,0.01518,0.24644,0.95901,0.9958,0.99428,0.99447,0.94474,0.99663,0.9939,0.99455,0.99419,0.36532,0.02385,0.00031,0.17298,0.95215,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,21041.4,0.37705,0.03546,0.0147,0.2482,0.95977,0.99779,0.99329,0.99448,0.94554,0.99775,0.99381,0.99455,0.99422,0.35651,0.02364,0.00028,0.1664,0.94997,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,21291.1,0.3785,0.03563,0.01464,0.24724,0.95983,0.99702,0.99437,0.99449,0.94512,0.99728,0.99463,0.99457,0.9942,0.35815,0.0236,0.0004,0.17918,0.9492,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,21540.6,0.37575,0.03673,0.01599,0.24543,0.95877,0.99605,0.99512,0.99437,0.94485,0.99607,0.99537,0.99448,0.99409,0.35359,0.02376,0.00032,0.16324,0.95045,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,21788.8,0.37649,0.03528,0.01405,0.24801,0.95886,0.99721,0.99459,0.99444,0.94583,0.9973,0.99468,0.99453,0.99418,0.3487,0.02363,0.00033,0.16137,0.9485,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,22037.7,inf,0.03571,0.01528,0.24573,0.95765,0.99616,0.9952,0.99444,0.94581,0.99642,0.9955,0.99453,0.99419,0.34584,0.02344,0.00046,0.1639,0.9468,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,22285.8,0.37652,0.03484,0.01503,0.24701,0.95785,0.99728,0.99378,0.99439,0.94537,0.99737,0.99387,0.99447,0.99417,0.34733,0.02328,0.0003,0.15696,0.94823,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,22534.3,0.37083,0.03495,0.01542,0.24237,0.95453,0.99717,0.99442,0.99446,0.94571,0.99718,0.99451,0.99454,0.99424,0.34644,0.02326,0.00026,0.15605,0.94793,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,22782.4,0.37136,0.03437,0.01507,0.24426,0.95472,0.99685,0.99442,0.99446,0.9455,0.99693,0.99451,0.99454,0.99422,0.35047,0.02346,0.00027,0.15751,0.94882,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
